Term,CRN,Subject,Course Number,Attribute,Credits,Title,Days,Time,Building,Instructor
,,,,,,,,,,
202620,20035,AGBU,213,Societies and Individuals,3,Legal Aspects of Agribusiness,MWF,0900 0950,FAFS,Hachem El Housseini
202620,20035,AGBU,213,Social Sciences I,3,Legal Aspects of Agribusiness,MWF,0900 0950,FAFS,Hachem El Housseini
202620,20037,AGBU,255,Community Engaged Learning,3,Field Study of Rural Agro-Econ,W,1100 1150,FAFS,Martin Keulertz
202620,20038,AGBU,256,Community Engaged Learning,1,Summer Internship,M,1200 1250,FAFS,Hana Sobh
202620,20041,AGSC,203,Natural Sciences,3,Crop Production and Protection,TR,0900 0950,FAFS,Hana Sobh
202620,20041,AGSC,203,Understanding the World,3,Crop Production and Protection,TR,0900 0950,FAFS,Hana Sobh
202620,20042,AGSC,203,Natural Sciences,3,Crop Production and Protection,TR,0900 0950,FAFS,Hana Sobh
202620,20042,AGSC,203,Understanding the World,3,Crop Production and Protection,TR,0900 0950,FAFS,Hana Sobh
202620,20043,AGSC,203,Natural Sciences,3,Crop Production and Protection,TR,0900 0950,FAFS,Hana Sobh
202620,20043,AGSC,203,Understanding the World,3,Crop Production and Protection,TR,0900 0950,FAFS,Hana Sobh
202620,20044,AGSC,205,Cultures and Histories,3,The Food Odyssey,M,1130 1245,FAFS,Shady Hamadeh
202620,20044,AGSC,205,Humanities I,3,The Food Odyssey,M,1130 1245,FAFS,Shady Hamadeh
202620,20045,AGSC,205,Cultures and Histories,3,The Food Odyssey,W,1130 1245,FAFS,Shady Hamadeh
202620,20045,AGSC,205,Humanities I,3,The Food Odyssey,W,1130 1245,FAFS,Shady Hamadeh
202620,20049,AGSC,212,Social Inequalities,3,Microecono.Th.of Food& Farming,TR,1300 1350,FAFS,Ali Chalak
202620,20049,AGSC,212,Social Sciences II,3,Microecono.Th.of Food& Farming,TR,1300 1350,FAFS,Ali Chalak
202620,20049,AGSC,212,Societies and Individuals,3,Microecono.Th.of Food& Farming,TR,1300 1350,FAFS,Ali Chalak
202620,20070,AHIS,203,Cultures and Histories,3,Ancient Mediterranean Art,TR,0930 1045,NICELY,Sarah Elizabeth Schell
202620,20070,AHIS,203,Humanities I,3,Ancient Mediterranean Art,TR,0930 1045,NICELY,Sarah Elizabeth Schell
202620,20071,AHIS,203,Cultures and Histories,3,Ancient Mediterranean Art,TR,1100 1215,NICELY,Sarah Elizabeth Schell
202620,20071,AHIS,203,Humanities I,3,Ancient Mediterranean Art,TR,1100 1215,NICELY,Sarah Elizabeth Schell
202620,20072,AHIS,208,Cultures and Histories,3,Renaissance Art,TR,1700 1815,NICELY,Joseph Richard Hammond
202620,20072,AHIS,208,Humanities I,3,Renaissance Art,TR,1700 1815,NICELY,Joseph Richard Hammond
202620,20073,AHIS,210,Cultures and Histories,3,Enlightenment & Art,TR,1530 1645,NICELY,Joseph Richard Hammond
202620,20073,AHIS,210,Humanities I,3,Enlightenment & Art,TR,1530 1645,NICELY,Joseph Richard Hammond
202620,20074,AHIS,221,Cultures and Histories,3,Modern Art and Culture,MW,1100 1215,NICELY,Sarah Elizabeth Schell
202620,20074,AHIS,221,Humanities I,3,Modern Art and Culture,MW,1100 1215,NICELY,Sarah Elizabeth Schell
202620,20075,AHIS,221,Cultures and Histories,3,Modern Art and Culture,MW,1230 1345,NICELY,Sarah Elizabeth Schell
202620,20075,AHIS,221,Humanities I,3,Modern Art and Culture,MW,1230 1345,NICELY,Sarah Elizabeth Schell
202620,20076,AHIS,224,Cultures and Histories,3,Art of Modern ME:19th Century,MW,1700 1815,NICELY,Saleem Al-Bahloly
202620,20076,AHIS,224,Humanities I,3,Art of Modern ME:19th Century,MW,1700 1815,NICELY,Saleem Al-Bahloly
202620,20077,AHIS,226,Cultures and Histories,3,Art After the Lebanese Wars,MW,1530 1645,NICELY,Saleem Al-Bahloly
202620,20077,AHIS,226,Humanities I,3,Art After the Lebanese Wars,MW,1530 1645,NICELY,Saleem Al-Bahloly
202620,20078,AHIS,228,Cultures and Histories,3,Art of Modern ME:20th Century,MW,1400 1515,NICELY,Saleem Al-Bahloly
202620,20078,AHIS,228,Humanities I,3,Art of Modern ME:20th Century,MW,1400 1515,NICELY,Saleem Al-Bahloly
202620,20079,AHIS,249M,Cultures and Histories,3,ST.MappingCapital inArt&Cinema,TR,1400 1515,NICELY,Ghalya Saadawi
202620,20079,AHIS,249M,History of Ideas,3,ST.MappingCapital inArt&Cinema,TR,1400 1515,NICELY,Ghalya Saadawi
202620,20079,AHIS,249M,Humanities I,3,ST.MappingCapital inArt&Cinema,TR,1400 1515,NICELY,Ghalya Saadawi
202620,20079,AHIS,249M,Human Values,3,ST.MappingCapital inArt&Cinema,TR,1400 1515,NICELY,Ghalya Saadawi
202620,20080,AHIS,282,Cultures and Histories,3,Art and Cultural Criticism,TR,1230 1345,NICELY,Ghalya Saadawi
202620,20080,AHIS,282,History of Ideas,3,Art and Cultural Criticism,TR,1230 1345,NICELY,Ghalya Saadawi
202620,20080,AHIS,282,Humanities I,3,Art and Cultural Criticism,TR,1230 1345,NICELY,Ghalya Saadawi
202620,20080,AHIS,282,Human Values,3,Art and Cultural Criticism,TR,1230 1345,NICELY,Ghalya Saadawi
202620,20080,AHIS,282,Social Inequalities,3,Art and Cultural Criticism,TR,1230 1345,NICELY,Ghalya Saadawi
202620,20092,AMST,215,Cultures and Histories,3,Intr. To American Studies,MW,1530 1645,NICELY,Rana Baghdadi
202620,20092,AMST,215,Humanities I,3,Intr. To American Studies,MW,1530 1645,NICELY,Rana Baghdadi
202620,20093,AMST,275AO,Cultures and Histories,3,ST:Survey of American Literat.,TR,0930 1045,NICELY,Sirene Harb
202620,20093,AMST,275AO,Humanities I,3,ST:Survey of American Literat.,TR,0930 1045,NICELY,Sirene Harb
202620,23189,AMST,275BC,Cultures and Histories,3,ST. Arab/American Studies,TR,1400 1515,NICELY,Randa May Tawil
202620,23189,AMST,275BC,Humanities I,3,ST. Arab/American Studies,TR,1400 1515,NICELY,Randa May Tawil
202620,23086,AMST,276Y,Cultures and Histories,3,ST. Race and Gender in Lit.,TR,1100 1215,NICELY,Sirene Harb
202620,23086,AMST,276Y,History of Ideas,3,ST. Race and Gender in Lit.,TR,1100 1215,NICELY,Sirene Harb
202620,23086,AMST,276Y,Humanities I,3,ST. Race and Gender in Lit.,TR,1100 1215,NICELY,Sirene Harb
202620,23086,AMST,276Y,Social Inequalities,3,ST. Race and Gender in Lit.,TR,1100 1215,NICELY,Sirene Harb
202620,20095,ARAB,201,Arabic Communication Skills,3,Qs in Contemp. Arab Culture,TR,0800 0915,REYNOL,Raghda Nahas El-Zein
202620,20095,ARAB,201,Understanding Communication,3,Qs in Contemp. Arab Culture,TR,0800 0915,REYNOL,Raghda Nahas El-Zein
202620,20096,ARAB,201,Arabic Communication Skills,3,Qs in Contemp. Arab Culture,TR,0930 1045,REYNOL,Raghda Nahas El-Zein
202620,20096,ARAB,201,Understanding Communication,3,Qs in Contemp. Arab Culture,TR,0930 1045,REYNOL,Raghda Nahas El-Zein
202620,20097,ARAB,201,Arabic Communication Skills,3,Qs in Contemp. Arab Culture,TR,1100 1215,REYNOL,Raghda Nahas El-Zein
202620,20097,ARAB,201,Understanding Communication,3,Qs in Contemp. Arab Culture,TR,1100 1215,REYNOL,Raghda Nahas El-Zein
202620,20098,ARAB,201,Arabic Communication Skills,3,Qs in Contemp. Arab Culture,MW,1100 1215,REYNOL,Sina Moukaled
202620,20098,ARAB,201,Understanding Communication,3,Qs in Contemp. Arab Culture,MW,1100 1215,REYNOL,Sina Moukaled
202620,20099,ARAB,201,Arabic Communication Skills,3,Qs in Contemp. Arab Culture,MW,1230 1345,REYNOL,Sina Moukaled
202620,20099,ARAB,201,Understanding Communication,3,Qs in Contemp. Arab Culture,MW,1230 1345,REYNOL,Sina Moukaled
